"target_end_date","forecast_date","lookahead","model_name","location_long","location_short","expected_value","lb_95pi","ub_95pi","gt_source"
2020-03-25,2020-03-24,1,"IHME","New York","NY",83.973,76,92,"NYT"
2020-03-26,2020-03-24,2,"IHME","New York","NY",110.039,97,124,"NYT"
2020-03-27,2020-03-24,3,"IHME","New York","NY",141.179,121,164,"NYT"
2020-03-28,2020-03-24,4,"IHME","New York","NY",177.3,148,213,"NYT"
2020-03-29,2020-03-24,5,"IHME","New York","NY",217.919,176.95,271.025,"NYT"
2020-03-30,2020-03-24,6,"IHME","New York","NY",262.206,206.925,340,"NYT"
2020-03-31,2020-03-24,7,"IHME","New York","NY",308.742,236.95,414.025,"NYT"
2020-04-01,2020-03-24,8,"IHME","New York","NY",355.844,259.975,500.05,"NYT"
2020-04-02,2020-03-24,9,"IHME","New York","NY",401.518,288.925,590,"NYT"
2020-04-03,2020-03-24,10,"IHME","New York","NY",443.596,304.975,683.025,"NYT"
2020-04-04,2020-03-24,11,"IHME","New York","NY",479.984,315.775,789.15,"NYT"
2020-04-05,2020-03-24,12,"IHME","New York","NY",510.391,316.9,892.025,"NYT"
2020-04-06,2020-03-24,13,"IHME","New York","NY",532.278,309,996.2,"NYT"
2020-04-07,2020-03-24,14,"IHME","New York","NY",544.649,294,1092.025,"NYT"
2020-04-08,2020-03-24,15,"IHME","New York","NY",547.014,273,1180.25,"NYT"
2020-04-09,2020-03-24,16,"IHME","New York","NY",539.452,246,1244.075,"NYT"
2020-04-10,2020-03-24,17,"IHME","New York","NY",522.593,215.95,1290.4,"NYT"
2020-04-11,2020-03-24,18,"IHME","New York","NY",497.51,186.925,1344.075,"NYT"
2020-04-12,2020-03-24,19,"IHME","New York","NY",465.68,153.95,1351.4,"NYT"
2020-04-13,2020-03-24,20,"IHME","New York","NY",428.762,123.975,1357.1,"NYT"
2020-04-14,2020-03-24,21,"IHME","New York","NY",388.493,98.875,1305.7,"NYT"
2020-04-15,2020-03-24,22,"IHME","New York","NY",346.587,74,1267.625,"NYT"
2020-04-16,2020-03-24,23,"IHME","New York","NY",304.585,55.95,1216.15,"NYT"
2020-04-17,2020-03-24,24,"IHME","New York","NY",263.765,39.95,1150.2,"NYT"
2020-04-18,2020-03-24,25,"IHME","New York","NY",225.187,27.975,1040.25,"NYT"
2020-04-19,2020-03-24,26,"IHME","New York","NY",189.623,19,921.599999999999,"NYT"
2020-04-20,2020-03-24,27,"IHME","New York","NY",157.546,13,835.05,"NYT"
2020-04-21,2020-03-24,28,"IHME","New York","NY",129.199,8,732.125,"NYT"
2020-04-22,2020-03-24,29,"IHME","New York","NY",104.597,5,627.075,"NYT"
2020-04-23,2020-03-24,30,"IHME","New York","NY",83.607,3,528.549999999999,"NYT"
2020-04-24,2020-03-24,31,"IHME","New York","NY",66.036,2,461.175,"NYT"
2020-04-25,2020-03-24,32,"IHME","New York","NY",51.532,1,388.025,"NYT"
2020-04-26,2020-03-24,33,"IHME","New York","NY",39.722,1,319,"NYT"
2020-04-27,2020-03-24,34,"IHME","New York","NY",30.252,0,257.125,"NYT"
2020-04-28,2020-03-24,35,"IHME","New York","NY",22.795,0,205.15,"NYT"
2020-04-29,2020-03-24,36,"IHME","New York","NY",16.963,0,162,"NYT"
