"target_end_date","location_long","location_short","gt_source","gt"
2020-03-15,"New York","NY","CovidTracking",3
2020-03-16,"New York","NY","CovidTracking",4
2020-03-17,"New York","NY","CovidTracking",0
2020-03-18,"New York","NY","CovidTracking",5
2020-03-19,"New York","NY","CovidTracking",0
2020-03-20,"New York","NY","CovidTracking",23
2020-03-21,"New York","NY","CovidTracking",9
2020-03-22,"New York","NY","CovidTracking",70
2020-03-23,"New York","NY","CovidTracking",0
2020-03-24,"New York","NY","CovidTracking",96
2020-03-25,"New York","NY","CovidTracking",75
2020-03-26,"New York","NY","CovidTracking",100
2020-03-27,"New York","NY","CovidTracking",134
2020-03-28,"New York","NY","CovidTracking",209
2020-03-29,"New York","NY","CovidTracking",237
2020-03-30,"New York","NY","CovidTracking",253
2020-03-31,"New York","NY","CovidTracking",332
2020-04-01,"New York","NY","CovidTracking",391
2020-04-02,"New York","NY","CovidTracking",432
2020-04-03,"New York","NY","CovidTracking",562
2020-04-04,"New York","NY","CovidTracking",630
2020-04-05,"New York","NY","CovidTracking",594
2020-04-06,"New York","NY","CovidTracking",599
2020-04-07,"New York","NY","CovidTracking",731
2020-04-08,"New York","NY","CovidTracking",779
2020-04-09,"New York","NY","CovidTracking",799
2020-04-10,"New York","NY","CovidTracking",777
2020-04-11,"New York","NY","CovidTracking",783
2020-04-12,"New York","NY","CovidTracking",758
2020-04-13,"New York","NY","CovidTracking",671
2020-04-14,"New York","NY","CovidTracking",778
2020-04-15,"New York","NY","CovidTracking",752
2020-04-16,"New York","NY","CovidTracking",606
2020-04-17,"New York","NY","CovidTracking",630
2020-04-18,"New York","NY","CovidTracking",540
2020-04-19,"New York","NY","CovidTracking",507
2020-04-20,"New York","NY","CovidTracking",478
2020-04-21,"New York","NY","CovidTracking",481
2020-04-22,"New York","NY","CovidTracking",474
2020-04-23,"New York","NY","CovidTracking",438
2020-04-24,"New York","NY","CovidTracking",422
2020-04-25,"New York","NY","CovidTracking",437
2020-04-26,"New York","NY","CovidTracking",367
2020-04-27,"New York","NY","CovidTracking",337
2020-04-28,"New York","NY","CovidTracking",335
2020-04-29,"New York","NY","CovidTracking",377
2020-04-30,"New York","NY","CovidTracking",306
2020-05-01,"New York","NY","CovidTracking",289
2020-05-02,"New York","NY","CovidTracking",299
2020-05-03,"New York","NY","CovidTracking",280
2020-05-04,"New York","NY","CovidTracking",226
2020-05-05,"New York","NY","CovidTracking",230
2020-05-06,"New York","NY","CovidTracking",232
2020-05-07,"New York","NY","CovidTracking",951
2020-05-08,"New York","NY","CovidTracking",217
2020-05-09,"New York","NY","CovidTracking",226
2020-05-10,"New York","NY","CovidTracking",207
2020-05-11,"New York","NY","CovidTracking",162
2020-05-12,"New York","NY","CovidTracking",205
2020-05-13,"New York","NY","CovidTracking",168
2020-05-14,"New York","NY","CovidTracking",157
2020-05-15,"New York","NY","CovidTracking",134
2020-05-16,"New York","NY","CovidTracking",174
2020-05-17,"New York","NY","CovidTracking",141
2020-05-18,"New York","NY","CovidTracking",110
2020-05-19,"New York","NY","CovidTracking",114
2020-05-20,"New York","NY","CovidTracking",133
2020-05-21,"New York","NY","CovidTracking",107
2020-05-22,"New York","NY","CovidTracking",112
2020-05-23,"New York","NY","CovidTracking",87
2020-05-24,"New York","NY","CovidTracking",109
2020-05-25,"New York","NY","CovidTracking",97
2020-05-26,"New York","NY","CovidTracking",76
2020-05-27,"New York","NY","CovidTracking",79
2020-05-28,"New York","NY","CovidTracking",79
2020-05-29,"New York","NY","CovidTracking",58
2020-05-30,"New York","NY","CovidTracking",68
2020-05-31,"New York","NY","CovidTracking",57
2020-06-01,"New York","NY","CovidTracking",54
2020-06-02,"New York","NY","CovidTracking",64
2020-06-03,"New York","NY","CovidTracking",56
2020-06-04,"New York","NY","CovidTracking",54
2020-06-05,"New York","NY","CovidTracking",42
2020-03-15,"New York","NY","JHURD",1
2020-03-16,"New York","NY","JHURD",7
2020-03-17,"New York","NY","JHURD",3
2020-03-18,"New York","NY","JHURD",3
2020-03-19,"New York","NY","JHURD",18
2020-03-20,"New York","NY","JHURD",8
2020-03-21,"New York","NY","JHURD",18
2020-03-22,"New York","NY","JHURD",57
2020-03-23,"New York","NY","JHURD",41
2020-03-24,"New York","NY","JHURD",52
2020-03-25,"New York","NY","JHURD",75
2020-03-26,"New York","NY","JHURD",100
2020-03-27,"New York","NY","JHURD",142
2020-03-28,"New York","NY","JHURD",201
2020-03-29,"New York","NY","JHURD",237
2020-03-30,"New York","NY","JHURD",253
2020-03-31,"New York","NY","JHURD",332
2020-04-01,"New York","NY","JHURD",391
2020-04-02,"New York","NY","JHURD",432
2020-04-03,"New York","NY","JHURD",562
2020-04-04,"New York","NY","JHURD",630
2020-04-05,"New York","NY","JHURD",594
2020-04-06,"New York","NY","JHURD",539
2020-04-07,"New York","NY","JHURD",791
2020-04-08,"New York","NY","JHURD",779
2020-04-09,"New York","NY","JHURD",799
2020-04-10,"New York","NY","JHURD",800
2020-04-11,"New York","NY","JHURD",760
2020-04-12,"New York","NY","JHURD",758
2020-04-13,"New York","NY","JHURD",673
2020-04-14,"New York","NY","JHURD",784
2020-04-15,"New York","NY","JHURD",775
2020-04-16,"New York","NY","JHURD",3215
2020-04-17,"New York","NY","JHURD",2299
2020-04-18,"New York","NY","JHURD",540
2020-04-19,"New York","NY","JHURD",627
2020-04-20,"New York","NY","JHURD",313
2020-04-21,"New York","NY","JHURD",493
2020-04-22,"New York","NY","JHURD",309
2020-04-23,"New York","NY","JHURD",1560
2020-04-24,"New York","NY","JHURD",438
2020-04-25,"New York","NY","JHURD",598
2020-04-26,"New York","NY","JHURD",260
2020-04-27,"New York","NY","JHURD",399
2020-04-28,"New York","NY","JHURD",244
2020-04-29,"New York","NY","JHURD",565
2020-04-30,"New York","NY","JHURD",110
2020-05-01,"New York","NY","JHURD",452
2020-05-02,"New York","NY","JHURD",159
2020-05-03,"New York","NY","JHURD",510
2020-05-04,"New York","NY","JHURD",291
2020-05-05,"New York","NY","JHURD",125
2020-05-06,"New York","NY","JHURD",499
