state,area_between_bounds,max_ev,date_max_ev,range_at_max,last_observation_date,model_name
Alaska,0.0,0.0,2020-05-02,0.0,2020-05-01,-
Alabama,10659.57499999999,29.305,2020-06-28,187.0,2020-05-01,-
Arkansas,327.04999999999995,2.439,2020-05-08,2.0,2020-05-01,-
Arizona,1988.5250000000005,13.332,2020-05-06,17.0,2020-05-01,-
California,6123.649999999996,81.515,2020-05-02,35.025000000000006,2020-05-01,-
Colorado,677.0999999999999,28.105999999999998,2020-05-02,10.0,2020-05-01,-
Connecticut,2743.4250000000006,90.045,2020-05-02,37.0,2020-05-01,-
District of Columbia,678.1499999999999,13.231,2020-05-04,10.024999999999999,2020-05-01,-
Delaware,1073.1749999999997,10.559000000000001,2020-05-04,9.0,2020-05-01,-
Florida,9170.524999999994,49.852,2020-05-02,29.0,2020-05-01,-
Georgia,10121.924999999994,60.909,2020-05-30,158.025,2020-05-01,-
Hawaii,3.0,1.0,2020-05-02,0.0,2020-05-01,-
Iowa,6528.849999999995,20.761999999999997,2020-06-09,104.025,2020-05-01,-
Idaho,40.02499999999998,1.021,2020-05-02,0.0,2020-05-01,-
Illinois,9127.149999999992,122.991,2020-05-05,85.025,2020-05-01,-
Indiana,19247.100000000006,87.421,2020-05-07,109.0,2020-05-01,-
Kansas,286.07499999999993,3.7689999999999997,2020-05-02,3.0,2020-05-01,-
Kentucky,707.1749999999998,8.206,2020-05-02,5.0,2020-05-01,-
Louisiana,1014.3499999999998,48.99,2020-05-02,12.0,2020-05-01,-
Massachusetts,7036.974999999994,198.74,2020-05-02,120.0,2020-05-01,-
Maryland,1825.4000000000005,59.451,2020-05-02,31.0,2020-05-01,-
Maine,84.04999999999995,1.186,2020-05-04,1.0,2020-05-01,-
Michigan,6012.149999999998,129.826,2020-05-02,58.0,2020-05-01,-
Minnesota,5564.299999999997,41.409,2020-05-16,93.025,2020-05-01,-
Missouri,3649.550000000001,13.837,2020-05-04,14.0,2020-05-01,-
Mississippi,527.1499999999999,8.814,2020-05-02,7.0,2020-05-01,-
Montana,2.0,0.154,2020-05-02,1.0,2020-05-01,-
North Carolina,1959.3750000000005,23.471,2020-05-05,20.0,2020-05-01,-
North Dakota,44.0,1.075,2020-05-04,1.0,2020-05-01,-
Nebraska,1083.1749999999997,6.4110000000000005,2020-05-17,16.0,2020-05-01,-
New Hampshire,309.025,3.58,2020-05-03,2.0,2020-05-01,-
New Jersey,14048.524999999994,311.23,2020-05-03,163.05,2020-05-01,-
New Mexico,1033.2999999999997,8.221,2020-05-06,10.0,2020-05-01,-
Nevada,569.05,8.902999999999999,2020-05-02,4.0,2020-05-01,-
New York,7856.1249999999945,476.48199999999997,2020-05-02,138.04999999999995,2020-05-01,-
Ohio,3720.1500000000033,66.22800000000001,2020-05-05,48.025000000000006,2020-05-01,-
Oklahoma,458.075,7.09,2020-05-04,6.0,2020-05-01,-
Oregon,144.04999999999998,3.155,2020-05-03,1.0,2020-05-01,-
Pennsylvania,17585.125000000007,174.25400000000002,2020-05-06,156.0,2020-05-01,-
Rhode Island,301.05,11.699000000000002,2020-05-02,6.024999999999999,2020-05-01,-
South Carolina,2848.9500000000025,22.07,2020-05-08,26.0,2020-05-01,-
South Dakota,1448.5,3.9989999999999997,2020-06-20,24.0,2020-05-01,-
Tennessee,857.1999999999999,6.856,2020-05-04,8.0,2020-05-01,-
Texas,9098.624999999995,41.008,2020-05-30,114.025,2020-05-01,-
Utah,84.025,1.631,2020-05-04,2.0,2020-05-01,-
Virginia,1262.4750000000004,29.381,2020-05-02,19.0,2020-05-01,-
Vermont,5.0,1.0,2020-05-02,0.0,2020-05-01,-
Washington,236.0,16.88,2020-05-02,6.0,2020-05-01,-
Wisconsin,672.2749999999999,11.132,2020-05-03,6.0,2020-05-01,-
West Virginia,345.04999999999995,2.128,2020-05-02,1.0,2020-05-01,-
Wyoming,0.0,0.0,2020-05-02,0.0,2020-05-01,-
Alaska,219.05,4.463,2020-04-21,6.0,2020-03-30,-
Alabama,1622.4000000000003,36.937,2020-04-21,46.025000000000006,2020-03-30,-
Arkansas,596.1249999999999,28.704,2020-04-23,16.0,2020-03-30,-
Arizona,2146.175,48.733000000000004,2020-04-27,67.0,2020-03-30,-
California,9924.774999999992,122.12700000000001,2020-04-29,272.025,2020-03-30,-
Colorado,762.0749999999999,67.229,2020-04-18,29.0,2020-03-30,-
Connecticut,358.0,13.589,2020-04-17,23.0,2020-03-30,-
District of Columbia,220.05,16.104,2020-04-18,12.0,2020-03-30,-
Delaware,295.05,7.718999999999999,2020-04-19,10.0,2020-03-30,-
Florida,9873.999999999993,136.243,2020-05-04,241.0,2020-03-30,-
Georgia,2532.0250000000024,76.692,2020-04-24,59.0,2020-03-30,-
Hawaii,617.1249999999999,11.652999999999999,2020-05-02,15.0,2020-03-30,-
Iowa,941.3999999999997,24.855,2020-04-19,31.0,2020-03-30,-
Idaho,1014.3249999999997,11.488,2020-05-01,20.0,2020-03-30,-
Illinois,2948.2500000000005,88.473,2020-04-18,141.0,2020-03-30,-
Indiana,961.0749999999999,30.261,2020-04-19,29.0,2020-03-30,-
Kansas,935.0,20.508000000000003,2020-04-28,31.0,2020-03-30,-
Kentucky,2487.3250000000007,22.969,2020-05-16,57.0,2020-03-30,-
Louisiana,1047.0,71.68,2020-04-17,125.0,2020-03-30,-
Massachusetts,727.05,64.219,2020-04-17,46.0,2020-03-30,-
Maryland,3484.375000000001,47.156000000000006,2020-05-02,114.0,2020-03-30,-
Maine,515.1,12.088,2020-04-26,15.0,2020-03-30,-
Michigan,1184.05,117.194,2020-04-17,181.0,2020-03-30,-
Minnesota,1106.325,49.161,2020-04-20,56.025000000000006,2020-03-30,-
Missouri,2648.350000000001,21.736,2020-05-20,50.0,2020-03-30,-
Mississippi,1626.125,46.787,2020-04-22,76.0,2020-03-30,-
Montana,390.125,8.547,2020-04-27,10.0,2020-03-30,-
North Carolina,3451.7500000000014,79.564,2020-04-23,97.0,2020-03-30,-
North Dakota,305.0,5.191,2020-05-03,6.0,2020-03-30,-
Nebraska,767.2499999999998,13.433,2020-05-02,17.025,2020-03-30,-
New Hampshire,464.15,10.841,2020-04-22,14.0,2020-03-30,-
New Jersey,624.025,58.615,2020-04-17,86.0,2020-03-30,-
New Mexico,891.125,16.281,2020-05-02,19.0,2020-03-30,-
Nevada,573.0,15.270999999999999,2020-04-23,20.0,2020-03-30,-
New York,4621.15,551.419,2020-04-17,662.025,2020-03-30,-
Ohio,3365.5750000000016,56.983999999999995,2020-04-22,145.025,2020-03-30,-
Oklahoma,452.125,41.885,2020-04-23,22.0,2020-03-30,-
Oregon,942.05,11.349,2020-05-07,22.0,2020-03-30,-
Pennsylvania,1529.0750000000003,62.805,2020-04-17,73.0,2020-03-30,-
Rhode Island,340.15,8.351,2020-04-20,11.0,2020-03-30,-
South Carolina,1303.0749999999998,29.829,2020-04-28,40.025,2020-03-30,-
South Dakota,358.04999999999995,6.2860000000000005,2020-05-03,8.0,2020-03-30,-
Tennessee,5510.324999999997,192.482,2020-04-27,226.07500000000002,2020-03-30,-
Texas,11743.474999999995,154.513,2020-05-06,344.025,2020-03-30,-
Utah,957.3499999999998,17.105999999999998,2020-04-25,22.0,2020-03-30,-
Virginia,5114.5,31.241999999999997,2020-05-28,94.0,2020-03-30,-
Vermont,38.0,2.0,2020-04-17,2.0,2020-03-30,-
Washington,2334.3250000000007,27.354,2020-04-21,49.0,2020-03-30,-
Wisconsin,1871.2750000000003,24.945,2020-04-28,53.025,2020-03-30,-
West Virginia,844.1749999999998,15.507,2020-05-02,20.0,2020-03-30,-
Wyoming,260.025,4.397,2020-05-03,6.0,2020-03-30,-
Alaska,670.3249999999998,17.883,2020-04-21,86.09999999999991,2020-04-05,-
Alabama,2803.5000000000005,42.68,2020-04-22,197.15,2020-04-05,-
Arkansas,746.2749999999999,10.415,2020-04-27,44.0,2020-04-05,-
Arizona,1335.5249999999999,17.406,2020-04-23,63.07499999999989,2020-04-05,-
California,1585.7,69.567,2020-04-17,284.42499999999995,2020-04-05,-
Colorado,142.04999999999998,8.491,2020-04-17,29.0,2020-04-05,-
Connecticut,15492.824999999997,191.88400000000001,2020-04-22,378.125,2020-04-05,-
District of Columbia,77.02499999999998,1.921,2020-04-17,7.0,2020-04-05,-
Delaware,32.02499999999998,1.275,2020-04-17,5.0,2020-04-05,-
Florida,13333.69999999999,242.472,2020-04-21,481.04999999999995,2020-04-05,-
Georgia,6498.474999999996,137.467,2020-04-21,297.025,2020-04-05,-
Hawaii,237.14999999999986,10.673,2020-04-17,56.074999999999896,2020-04-05,-
