"date","location_long","location_short","gt_source","cum.death","inc.death"
2020-01-23,"Afghanistan","AFG","JHU",0,0
2020-01-23,"Albania","ALB","JHU",0,0
2020-01-23,"Algeria","DZA","JHU",0,0
2020-01-23,"Andorra","AND","JHU",0,0
2020-01-23,"Angola","AGO","JHU",0,0
2020-01-23,"Antigua & Barbuda","ATG","JHU",0,0
2020-01-23,"Argentina","ARG","JHU",0,0
2020-01-23,"Armenia","ARM","JHU",0,0
2020-01-23,"Australia","AUS","JHU",0,0
2020-01-23,"Austria","AUT","JHU",0,0
2020-01-23,"Azerbaijan","AZE","JHU",0,0
2020-01-23,"Bahamas","BHS","JHU",0,0
2020-01-23,"Bahrain","BHR","JHU",0,0
2020-01-23,"Bangladesh","BGD","JHU",0,0
2020-01-23,"Barbados","BRB","JHU",0,0
2020-01-23,"Belarus","BLR","JHU",0,0
2020-01-23,"Belgium","BEL","JHU",0,0
2020-01-23,"Belize","BLZ","JHU",0,0
2020-01-23,"Benin","BEN","JHU",0,0
2020-01-23,"Bhutan","BTN","JHU",0,0
2020-01-23,"Bolivia","BOL","JHU",0,0
2020-01-23,"Bosnia & Herzegovina","BIH","JHU",0,0
2020-01-23,"Botswana","BWA","JHU",0,0
2020-01-23,"Brazil","BRA","JHU",0,0
2020-01-23,"Brunei","BRN","JHU",0,0
2020-01-23,"Bulgaria","BGR","JHU",0,0
2020-01-23,"Burkina Faso","BFA","JHU",0,0
2020-01-23,"Burundi","BDI","JHU",0,0
2020-01-23,"Cambodia","KHM","JHU",0,0
2020-01-23,"Cameroon","CMR","JHU",0,0
2020-01-23,"Canada","CAN","JHU",0,0
2020-01-23,"Cape Verde","CPV","JHU",0,0
2020-01-23,"Central African Republic","CAF","JHU",0,0
2020-01-23,"Chad","TCD","JHU",0,0
2020-01-23,"Chile","CHL","JHU",0,0
2020-01-23,"China","CHN","JHU",18,1
2020-01-23,"Colombia","COL","JHU",0,0
2020-01-23,"Comoros","COM","JHU",0,0
2020-01-23,"Congo - Brazzaville","COG","JHU",0,0
2020-01-23,"Congo - Kinshasa","COD","JHU",0,0
2020-01-23,"Costa Rica","CRI","JHU",0,0
2020-01-23,"Côte d’Ivoire","CIV","JHU",0,0
2020-01-23,"Croatia","HRV","JHU",0,0
2020-01-23,"Cuba","CUB","JHU",0,0
2020-01-23,"Cyprus","CYP","JHU",0,0
2020-01-23,"Czechia","CZE","JHU",0,0
2020-01-23,"Denmark","DNK","JHU",0,0
2020-01-23,"Diamond Princess","Diamond Princess","JHU",0,0
2020-01-23,"Djibouti","DJI","JHU",0,0
2020-01-23,"Dominica","DMA","JHU",0,0
2020-01-23,"Dominican Republic","DOM","JHU",0,0
2020-01-23,"Ecuador","ECU","JHU",0,0
2020-01-23,"Egypt","EGY","JHU",0,0
2020-01-23,"El Salvador","SLV","JHU",0,0
2020-01-23,"Equatorial Guinea","GNQ","JHU",0,0
2020-01-23,"Eritrea","ERI","JHU",0,0
2020-01-23,"Estonia","EST","JHU",0,0
2020-01-23,"Ethiopia","ETH","JHU",0,0
2020-01-23,"Fiji","FJI","JHU",0,0
2020-01-23,"Finland","FIN","JHU",0,0
2020-01-23,"France","FRA","JHU",0,0
2020-01-23,"Gabon","GAB","JHU",0,0
2020-01-23,"Gambia","GMB","JHU",0,0
2020-01-23,"Georgia","GEO","JHU",0,0
2020-01-23,"Germany","DEU","JHU",0,0
2020-01-23,"Ghana","GHA","JHU",0,0
2020-01-23,"Greece","GRC","JHU",0,0
2020-01-23,"Grenada","GRD","JHU",0,0
2020-01-23,"Guatemala","GTM","JHU",0,0
2020-01-23,"Guinea","GIN","JHU",0,0
2020-01-23,"Guinea-Bissau","GNB","JHU",0,0
2020-01-23,"Guyana","GUY","JHU",0,0
2020-01-23,"Haiti","HTI","JHU",0,0
2020-01-23,"Honduras","HND","JHU",0,0
2020-01-23,"Hungary","HUN","JHU",0,0
2020-01-23,"Iceland","ISL","JHU",0,0
2020-01-23,"India","IND","JHU",0,0
2020-01-23,"Indonesia","IDN","JHU",0,0
2020-01-23,"Iran","IRN","JHU",0,0
2020-01-23,"Iraq","IRQ","JHU",0,0
2020-01-23,"Ireland","IRL","JHU",0,0
2020-01-23,"Israel","ISR","JHU",0,0
2020-01-23,"Italy","ITA","JHU",0,0
2020-01-23,"Jamaica","JAM","JHU",0,0
2020-01-23,"Japan","JPN","JHU",0,0
